transit_timestamp,station_complex,borough,fare_class_category,ridership,transfers
4/29/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,159,0
4/29/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Students,214,4
4/29/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,81,0
4/29/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,24,4
4/29/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,87,9
4/29/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,"2,007",31
4/29/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Other,14,0
4/29/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,49,0
4/29/25 16:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,113,0
4/29/25 16:00,23 St-Baruch College (6),Manhattan,OMNY - Students,215,1
